UniqueID,Company,ReceivablePaymentHeader,ReceivablePayment,Status,Customer,BankEntity,BankAccountNumber,GeneralLedgerDate,TypeOfPayment,PaymentNumber,LastApplicationSequence,LastRemittanceSequence,LastDistributionSequence,ReceivableProcessLevel,CancelDate,TransferredToCustomer,CashCode,ReceivedNotAppliedReceivableGeneralLedgerCode,OriginalCurrency,CurrencyRate,DepositDate,TransactionAmount,BaseAmount,BalancingDistributionAmountCompanyCurrency,CurrencyRateToCustomerGroupCurrency,CustomerGroupCurrencyMultiplicationOrDivision,LastStatementDate,AppliedAmount,BaseAppliedAmount,ReferenceNumber,ReferenceType,CurrencyDecimalsNumber,Prepayment,CreditAppliedAmount,BaseCreditAppliedAmount,AdjustAmountTransactionCurrency,BaseAdjustAmount,CurrencyMultiplicationOrDivision,TransactionHistoryPeriods,LastSelectApplicationSequence,LastFinanceChargeDate,ReceivableOperator,FinanceDimension2,Project,ProjectContract,TransferDate,NationalAccountLastStatementDate,TransferredFromCustomer,TransferAmountTransactionCurrency,Origin,ContractRebateGroup.ContractGroup,ContractRebateGroup.Contract,ContractRebateGroup.ContractRebateType,ContractRebateGroup.ContractRebateDue,OriginatingInterfaceRun,MandateID,MandateType,OriginatingICBSettlement.BusinessClassName,OriginatingICBSettlement.BusinessObjectKey,OriginatingICBSettlement.SymbolicKeyText,BackgroundProcessing
01617361-95bf-0000-004a-a7e8538f85a8,1,15,1,0,3,,,3/2/2018,P,176,3,0,0,1,,0,100,RNA,USD,1,3/2/2018,2374.95,2374.95,0,1,M,,0,0,,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
0162b4f6-820e-0000-000d-cae2538f85a8,1,16,1,7,1,,,3/5/2018,P,132344,0,0,0,1,4/18/2018,0,100,RNA,USD,1,3/5/2018,1000,1000,0,1,M,,0,0,,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
01621d22-4bf3-0000-0027-e2ea538f85a8,1,17,1,7,1,,,3/20/2018,P,320,1,0,0,1,,0,100,RNA,USD,1,3/20/2018,2374.95,2374.95,0,1,M,,2374.95,2374.95,,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
0162b4f6-820e-0000-000e-1b78538f85a8,1,18,1,7,2,,,4/1/2018,P,123,2,0,0,1,,0,100,RNA,USD,1,4/1/2018,20000,20000,0,1,M,,20000,20000,,,2,0,0,0,0,0,M,0,0,,lawson29,106,,2_6000,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
7cfb7f43-2680-d1b6-0000-9f825b54bc20,1,19,2,0,3,,,4/13/2018,P,731,1,0,0,1,,0,100,RNA,USD,1,4/13/2018,2374.95,2374.95,0,1,M,,2374.95,2374.95,,,2,0,0,0,0,0,M,0,0,,lawson29,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
0162caa2-3e6e-0000-0014-9377538f85a8,1,20,1,7,2,,,4/18/2018,P,CHCK101,4,0,0,1,,0,100,RNA,USD,1,4/18/2018,50,50,0,1,M,,50,50,,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
0162caa2-3e6e-0000-0014-941a538f85a8,1,20,2,2,2,,,4/18/2018,P,CHCK102,4,0,0,1,,0,100,RNA,USD,1,4/18/2018,100,100,0,1,M,9/20/2018,0,0,,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
0162caa2-3e6e-0000-0014-955f538f85a8,1,20,3,2,2,,,4/18/2018,P,CHCK103,4,0,0,1,,0,100,RNA,USD,1,4/18/2018,150,150,0,1,M,9/20/2018,100,100,,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
0162caa2-3e6e-0000-0019-27fe538f85a8,1,21,1,2,2,,,4/19/2018,P,CHCK100,1,0,0,1,,0,100,RNA,USD,1,4/19/2018,100,100,0,1,M,9/20/2018,0,0,,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
0162caa2-3e6e-0000-0019-280c538f85a8,1,21,2,7,2,,,4/19/2018,P,CHCK200,1,0,0,1,,0,100,RNA,USD,1,4/19/2018,100,100,0,1,M,,100,100,,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
0162e119-98cb-0000-0006-fdb0538f85a8,1,22,1,7,5,,,4/20/2018,P,CHK1234,3,0,0,1,,0,100,RNA,USD,1,4/20/2018,2000,2000,0,1,M,,2000,2000,SP1234,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
0162e119-98cb-0000-0012-7121538f85a8,1,23,1,7,5,,,4/24/2018,P,CHK1244,2,0,0,1,,0,100,RNA,USD,1,4/24/2018,3000,3000,0,1,M,,3000,3000,,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
0162e119-98cb-0000-0012-8e02538f85a8,1,24,1,0,5,,,4/24/2018,P,CHK4343,5,0,0,1,,0,100,RNA,USD,1,4/24/2018,2000,2000,0,1,M,,2500,2500,,,2,0,0,0,-500,-500,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
943fd405-c680-0e56-0000-0d995aefc7a5,1,29,2,2,3,,,3/20/2018,P,9897,2,0,0,1,,0,100,RNA,USD,1,3/20/2018,2374.95,2374.95,0,1,M,9/20/2018,0,0,,,2,0,0,0,0,0,M,0,0,,servicesadmin,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
7cfb7f43-2680-f216-0000-20165b54bc20,1,30,3,0,3,,,4/13/2018,P,730,1,0,0,1,,0,100,RNA,USD,1,4/13/2018,2374.95,2374.95,0,1,M,,2374.95,2374.95,,,2,0,0,0,0,0,M,0,0,,servicesadmin,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
943fd405-c680-7a16-0000-32915aefc7a5,1,31,1,0,3,,,6/4/2018,P,72681,0,0,0,1,,0,100,RNA,USD,1,6/4/2018,7000,7000,0,1,M,,0,0,,,2,0,0,0,0,0,M,0,0,,inforhc6,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
aa360c75-8e80-bb80-0000-5cc95ea3605c,1,34,1,2,1,,,1/20/2020,P,CHK4321,0,0,0,1,,0,100,RNA,USD,1,1/20/2020,2400,2400,0,1,M,,0,0,4321,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
d693140d-8e80-b680-0000-56d75ea3e17a,1,35,1,2,1000,,,1/1/2017,P,1,0,1,0,IB1,,0,100,RNA,USD,1,1/1/2017,1400,1400,0,1,M,,0,0,,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,IntercompanyBillingSettlementHeader,d693140d-8e80-e700-0000-470c5ea3e17a,"1, 2, 200, SYS, 1",0
1f803075-8e80-1600-0000-49205ea3570a,1,36,1,7,1,,,5/1/2020,P,RM1234,3,0,0,1,,0,100,RNA,USD,1,5/1/2020,2500,2500,0,1,M,,2500,2500,RMESA,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-00355e9acf68,100,33,1,9,3,,,1/30/2019,P,1,0,0,0,1,,0,100,RNA,USD,1,1/30/2019,2753,2753,0,1,M,,2753,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-00535e9acf68,100,34,1,9,1,,,3/5/2019,P,1,0,0,0,1,,0,100,RNA,USD,1,3/5/2019,1000,1000,0,1,M,,1000,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-006d5e9acf68,100,35,1,9,2,,,4/1/2019,P,1,0,0,0,1,,0,100,RNA,USD,1,4/1/2019,20000,20000,0,1,M,,20000,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-00875e9acf68,100,36,1,9,2,,,4/18/2019,P,1,0,0,0,1,,0,100,RNA,USD,1,4/18/2019,50,50,0,1,M,,50,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-00885e9acf68,100,36,2,9,2,,,4/18/2019,P,3,0,0,0,1,,0,100,RNA,USD,1,4/18/2019,150,150,0,1,M,,150,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-00895e9acf68,100,36,3,9,2,,,4/18/2019,P,2,0,0,0,1,,0,100,RNA,USD,1,4/18/2019,100,100,0,1,M,,100,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-009a5e9acf68,100,37,1,9,2,,,4/19/2019,P,2,0,0,0,1,,0,100,RNA,USD,1,4/19/2019,100,100,0,1,M,,100,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-009b5e9acf68,100,37,2,9,2,,,4/19/2019,P,1,0,0,0,1,,0,100,RNA,USD,1,4/19/2019,100,100,0,1,M,,100,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-00ac5e9acf68,100,38,1,9,5,,,4/20/2019,P,1,0,0,0,1,,0,100,RNA,USD,1,4/20/2019,2000,2000,0,1,M,,2000,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-00c65e9acf68,100,39,1,9,5,,,4/24/2019,P,1,0,0,0,1,,0,100,RNA,USD,1,4/24/2019,3000,3000,0,1,M,,3000,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-00d75e9acf68,100,40,1,9,2,,,4/30/2019,P,2,0,0,0,1,,0,100,RNA,USD,1,4/30/2019,500,500,0,1,M,,500,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-00d85e9acf68,100,40,2,9,2,,,4/30/2019,P,1,0,0,0,1,,0,100,RNA,USD,1,4/30/2019,12400,12400,0,1,M,,12400,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-00e95e9acf68,100,41,1,9,3,,,6/4/2019,P,1,0,0,0,1,,0,100,RNA,USD,1,6/4/2019,7000,7000,0,1,M,,7000,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-00fa5e9acf68,100,42,1,9,2,,,9/8/2019,P,1,0,0,0,1,,0,100,RNA,USD,1,9/8/2019,14.15,14.15,0,1,M,,14.15,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-010b5e9acf68,100,43,1,9,1,,,9/29/2019,P,1,0,0,0,1,,0,100,RNA,USD,1,9/29/2019,120,120,0,1,M,,120,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-011c5e9acf68,100,44,1,9,2,,,10/6/2019,P,1,0,0,0,1,,0,100,RNA,USD,1,10/6/2019,50000,50000,0,1,M,,50000,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-011d5e9acf68,100,44,2,9,1,,,10/6/2019,P,1,0,0,0,1,,0,100,RNA,USD,1,10/6/2019,2000,2000,0,1,M,,2000,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-012e5e9acf68,100,45,1,9,3,,,3/1/2020,P,1,0,0,0,1,,0,100,RNA,USD,1,3/1/2020,2374.95,2374.95,0,1,M,,2374.95,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-013f5e9acf68,100,46,1,9,3,,,3/12/2020,P,2,0,0,0,1,,0,100,RNA,USD,1,3/12/2020,2374.95,2374.95,0,1,M,,2374.95,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-01505e9acf68,100,47,1,9,3,,,3/13/2020,P,3,0,0,0,1,,0,100,RNA,USD,1,3/13/2020,2374.95,2374.95,0,1,M,,2374.95,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-01615e9acf68,100,48,1,9,3,,,3/19/2020,P,2,0,0,0,1,,0,100,RNA,USD,1,3/19/2020,2374.95,2374.95,0,1,M,,2374.95,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-01625e9acf68,100,48,2,9,1,,,3/19/2020,P,1,0,0,0,1,,0,100,RNA,USD,1,3/19/2020,2374.95,2374.95,0,1,M,,2374.95,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-359c-0000-01735e9acf68,100,49,1,9,2,,,3/30/2020,P,1,0,0,0,1,,0,100,RNA,USD,1,3/30/2020,2722,2722,0,1,M,,2722,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,13,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-00d75e9acf68,210,1,1,9,3,,,1/30/2019,P,1,0,0,0,1,,0,210,RNA,USD,1,1/30/2019,2753,2753,0,1,M,,2753,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-00f55e9acf68,210,2,1,9,1,,,3/5/2019,P,1,0,0,0,1,,0,210,RNA,USD,1,3/5/2019,1000,1000,0,1,M,,1000,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-010f5e9acf68,210,3,1,9,2,,,4/1/2019,P,1,0,0,0,1,,0,210,RNA,USD,1,4/1/2019,20000,20000,0,1,M,,20000,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-01295e9acf68,210,4,1,9,2,,,4/18/2019,P,1,0,0,0,1,,0,210,RNA,USD,1,4/18/2019,50,50,0,1,M,,50,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-012a5e9acf68,210,4,2,9,2,,,4/18/2019,P,2,0,0,0,1,,0,210,RNA,USD,1,4/18/2019,100,100,0,1,M,,100,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-012b5e9acf68,210,4,3,9,2,,,4/18/2019,P,3,0,0,0,1,,0,210,RNA,USD,1,4/18/2019,150,150,0,1,M,,150,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-013c5e9acf68,210,5,1,9,2,,,4/19/2019,P,2,0,0,0,1,,0,210,RNA,USD,1,4/19/2019,100,100,0,1,M,,100,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-013d5e9acf68,210,5,2,9,2,,,4/19/2019,P,1,0,0,0,1,,0,210,RNA,USD,1,4/19/2019,100,100,0,1,M,,100,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-014e5e9acf68,210,6,1,9,5,,,4/20/2019,P,1,0,0,0,1,,0,210,RNA,USD,1,4/20/2019,2000,2000,0,1,M,,2000,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-01685e9acf68,210,7,1,9,5,,,4/24/2019,P,1,0,0,0,1,,0,210,RNA,USD,1,4/24/2019,3000,3000,0,1,M,,3000,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-01795e9acf68,210,8,1,9,2,,,4/30/2019,P,1,0,0,0,1,,0,210,RNA,USD,1,4/30/2019,12400,12400,0,1,M,,12400,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-017a5e9acf68,210,8,2,9,2,,,4/30/2019,P,2,0,0,0,1,,0,210,RNA,USD,1,4/30/2019,500,500,0,1,M,,500,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-018b5e9acf68,210,9,1,9,3,,,6/4/2019,P,1,0,0,0,1,,0,210,RNA,USD,1,6/4/2019,7000,7000,0,1,M,,7000,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-019c5e9acf68,210,10,1,9,2,,,9/8/2019,P,1,0,0,0,1,,0,210,RNA,USD,1,9/8/2019,14.15,14.15,0,1,M,,14.15,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-01ad5e9acf68,210,11,1,9,1,,,9/29/2019,P,1,0,0,0,1,,0,210,RNA,USD,1,9/29/2019,120,120,0,1,M,,120,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-01be5e9acf68,210,12,1,9,1,,,10/6/2019,P,1,0,0,0,1,,0,210,RNA,USD,1,10/6/2019,2000,2000,0,1,M,,2000,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-01bf5e9acf68,210,12,2,9,2,,,10/6/2019,P,1,0,0,0,1,,0,210,RNA,USD,1,10/6/2019,50000,50000,0,1,M,,50000,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-01d05e9acf68,210,13,1,9,3,,,3/1/2020,P,1,0,0,0,1,,0,210,RNA,USD,1,3/1/2020,2374.95,2374.95,0,1,M,,2374.95,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-01e15e9acf68,210,14,1,9,3,,,3/12/2020,P,2,0,0,0,1,,0,210,RNA,USD,1,3/12/2020,2374.95,2374.95,0,1,M,,2374.95,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-01f25e9acf68,210,15,1,9,3,,,3/13/2020,P,3,0,0,0,1,,0,210,RNA,USD,1,3/13/2020,2374.95,2374.95,0,1,M,,2374.95,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-02035e9acf68,210,16,1,9,3,,,3/19/2020,P,2,0,0,0,1,,0,210,RNA,USD,1,3/19/2020,2374.95,2374.95,0,1,M,,2374.95,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
a3f45d31-8e80-c59c-0000-02045e9acf68,210,16,2,9,1,,,3/19/2020,P,1,0,0,0,1,,0,210,RNA,USD,1,3/19/2020,2374.95,2374.95,0,1,M,,2374.95,0,,,2,0,0,0,0,0,M,0,0,,Steven.Sinisi,,,,,,0,0,,,0,,,14,,,,00000000-0000-0000-0000-000000000000,,0
